transaction_id,user_id,product_id,shop_id,quantity,unit_price,total_amount,discount_percent,discount_amount,tax_percent,tax_amount,final_amount,payment_method,transaction_status,transaction_date,transaction_ts,delivery_date,delivery_address,notes,_ingestion_ts,_source_file,_ingestion_date,_cleaned_at,_dq_score,transaction_year_month,_enriched_at
1.0,200.0,1868.0,8.0,3.0,2500.0,7500.0,5.0,375.0,8.0,570.0,7695.0,credit card,completed,2024-06-12,2024-06-12 03:57:16.802800,2024-06-18 03:57:16.802800,"90834 andrea loaf, lauraport, tx 50924",order for minimalist wide leg polos,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-06,2026-01-01T16:18:14.428470
2.0,200.0,889.0,11.0,3.0,12500.0,37500.0,0.0,0.0,8.0,3000.0,40500.0,credit card,completed,2024-10-22,2024-10-22 07:45:43.585170,2024-10-28 07:45:43.585170,"90834 andrea loaf, lauraport, tx 50924",order for structured statement coats,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-10,2026-01-01T16:18:14.428470
3.0,55.0,85.0,9.0,3.0,12500.0,37500.0,0.0,0.0,8.0,3000.0,40500.0,digital wallet,completed,2024-10-22,2024-10-22 17:52:03.165899,2024-10-29 17:52:03.165899,"5038 chapman plaza, mcculloughland, ga 50825",order for statement vintage denim jackets,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-10,2026-01-01T16:18:14.428470
4.0,295.0,1027.0,23.0,2.0,6000.0,12000.0,0.0,0.0,8.0,960.0,12960.0,credit card,completed,2024-08-16,2024-08-16 22:17:24.772308,2024-08-23 22:17:24.772308,"943 mary locks apt. 303, mcphersonshire, mi 09670",order for edgy sporty sweatshirts,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-08,2026-01-01T16:18:14.428470
5.0,426.0,2311.0,12.0,1.0,4000.0,4000.0,0.0,,8.0,320.0,4320.0,credit card,completed,2024-10-14,2024-10-14 00:00:20.573230,2024-10-17 00:00:20.573230,"psc 4238, box 3323, apo ae 52683",order for refined vintage track pants,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-10,2026-01-01T16:18:14.428470
6.0,239.0,283.0,11.0,3.0,4000.0,12000.0,0.0,0.0,,960.0,12960.0,cod,completed,2024-02-19,2024-02-19 21:53:08.985198,2024-02-24 21:53:08.985198,"17636 lewis gardens suite 735, south krista, gu 16864",,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-02,2026-01-01T16:18:14.428470
7.0,43.0,201.0,13.0,1.0,11500.0,11500.0,0.0,0.0,8.0,920.0,12420.0,bank transfer,completed,2024-05-24,2024-05-24 00:51:04.598251,2024-05-27 00:51:04.598251,"461 harvey valleys, north danielberg, mp 77233",order for neutral comfy coats,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-05,2026-01-01T16:18:14.428470
8.0,322.0,633.0,12.0,1.0,5000.0,5000.0,15.0,750.0,8.0,340.0,4590.0,cod,completed,2024-07-28,2024-07-28 03:22:05.415036,2024-08-03 03:22:05.415036,"299 fernando fork apt. 107, east cristian, de 60796",order for luxury elegant track pants,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-07,2026-01-01T16:18:14.428470
9.0,409.0,689.0,24.0,2.0,4500.0,9000.0,0.0,0.0,8.0,720.0,9720.0,debit card,completed,2024-06-23,2024-06-23 14:05:13.969236,2024-06-29 14:05:13.969236,"089 knight ranch suite 833, east thomasmouth, ut 79582",order for lightweight camo sweatshirts,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,2024-06,2026-01-01T16:18:14.428470
10.0,174.0,1243.0,14.0,3.0,3500.0,10500.0,0.0,0.0,8.0,840.0,11340.0,debit card,completed,,2024-04-30 00:25:12.350876,2024-05-05 00:25:12.350876,"673 shepherd greens, port jonathanville, ak 09457",order for heritage heritage track pants,2025-11-30 20:16:12.657201,transactions_dataset.csv,2025-11-30,2025-11-30T15:05:40.570268,97,,2026-01-01T16:18:14.428470
