transaction_id,user_id,product_id,shop_id,quantity,unit_price,total_amount,discount_percent,discount_amount,tax_percent,tax_amount,final_amount,payment_method,transaction_status,transaction_date,transaction_ts,delivery_date,delivery_address,notes,pos_timestamp,kafka_timestamp,source,received_timestamp,offset,partition
101.0,112.0,949.0,6.0,2.0,4000.0,8000.0,10.0,800.0,8.0,576.0,7776.0,Credit Card,Completed,2024-03-12,2024-03-12 15:19:01.403466,2024-03-19 15:19:01.403466,"834 Ann Spur, Brooksmouth, IN 16385",Order for Soft Layered Sweatshirts,2026-02-25T10:46:51.168414,2026-02-25T10:46:51.168414,pos_system,2026-02-25T11:15:16.465418,100,0
102.0,219.0,741.0,8.0,3.0,15000.0,45000.0,0.0,0.0,8.0,3600.0,48600.0,COD,Pending,2024-03-01,2024-03-01 10:43:02.428403,2024-03-03 10:43:02.428403,"596 Smith Inlet, Andrewbury, VI 45754",Order for Camo Chic Kimono,2026-02-25T10:46:51.189410,2026-02-25T10:46:51.189410,pos_system,2026-02-25T11:15:16.465418,101,0
103.0,494.0,1584.0,21.0,3.0,3000.0,,10.0,900.0,8.0,648.0,8748.0,Debit Card,Completed,2024-02-28,2024-02-28 16:48:23.905215,2024-03-04 16:48:23.905215,"32232 Nelson Way, North Josephside, LA 33156",,2026-02-25T10:46:51.210252,2026-02-25T10:46:51.210252,pos_system,2026-02-25T11:15:16.465418,102,0
104.0,198.0,2441.0,6.0,3.0,4500.0,13500.0,0.0,0.0,8.0,1080.0,14580.0,Debit Card,Completed,2024-02-22,2024-02-22 07:25:37.298499,2024-02-25 07:25:37.298499,"9773 Gregory Run, South Williamburgh, NY 99937",Order for Functional Dynamic Polos,2026-02-25T10:46:51.231438,2026-02-25T10:46:51.231438,pos_system,2026-02-25T11:15:16.465418,103,0
105.0,198.0,41.0,4.0,2.0,4500.0,9000.0,,0.0,8.0,720.0,9720.0,Debit Card,Completed,2024-08-08,2024-08-08 09:34:27.762336,2024-08-11 09:34:27.762336,"9773 Gregory Run, South Williamburgh, NY 99937",Order for Classic Tailored T-Shirts,2026-02-25T10:46:51.252740,2026-02-25T10:46:51.252740,pos_system,2026-02-25T11:15:16.465418,104,0
106.0,245.0,709.0,16.0,2.0,11500.0,23000.0,0.0,0.0,8.0,1840.0,24840.0,Credit Card,Completed,2024-09-29,,2024-10-01 18:39:50.963296,"55116 Brittany Well Apt. 599, Laurenhaven, WY 33773",Order for Essential Refined Coats,2026-02-25T10:46:51.274130,2026-02-25T10:46:51.274130,pos_system,2026-02-25T11:15:16.465418,105,0
107.0,114.0,1944.0,1.0,3.0,11500.0,34500.0,5.0,1725.0,8.0,2622.0,35397.0,Debit Card,Cancelled,2024-08-30,2024-08-30 13:42:42.131428,,"8750 Hernandez Loop, West Chadburgh, VI 89363",Order for Lightweight Tailored Utility Pants,2026-02-25T10:46:51.295418,2026-02-25T10:46:51.295418,pos_system,2026-02-25T11:15:16.465418,106,0
108.0,338.0,1346.0,,3.0,5000.0,15000.0,0.0,0.0,8.0,1200.0,16200.0,,Completed,2024-03-29,2024-03-29 20:52:42.866258,2024-04-04 20:52:42.866258,"8175 Lisa Hills Apt. 165, Susanside, NY 11722",Order for Dynamic Tailored Beach Wear,2026-02-25T10:46:51.316464,2026-02-25T10:46:51.316464,pos_system,2026-02-25T11:15:16.465418,107,0
109.0,330.0,2104.0,24.0,2.0,9000.0,18000.0,5.0,900.0,8.0,1368.0,,Digital Wallet,Completed,2024-04-23,2024-04-23 14:47:16.522854,2024-04-29 14:47:16.522854,"83190 Michelle Manor Suite 929, West Travishaven, AS 28238",Order for Wide Leg Dynamic Denim Jackets,2026-02-25T10:46:51.337748,2026-02-25T10:46:51.337748,pos_system,2026-02-25T11:15:16.465418,108,0
110.0,289.0,582.0,19.0,2.0,6000.0,12000.0,10.0,,8.0,864.0,11664.0,Digital Wallet,Completed,2024-03-29,2024-03-29 14:59:21.393710,2024-04-02 14:59:21.393710,"1917 White Stream, Port James, TN 46256",Order for Soft Trendy Beach Wear,2026-02-25T10:46:51.358791,2026-02-25T10:46:51.358791,pos_system,2026-02-25T11:15:16.466414,109,0
